,rssi.202,rssi.245,rssi.129,rssi.122,outcome
1,-84,-96,-55,-71,1
2,-96,-87,-54,-70,1
3,-73,-81,-64,-71,1
4,-81,-78,-60,-73,1
5,-75,-79,-65,-73,1
6,-79,-88,-62,-77,1
7,-75,-80,-66,-68,1
8,-94,-79,-60,-65,1
9,-74,-79,-63,-71,1
10,-76,-86,-74,-68,1
11,-75,-84,-61,-67,1
12,-73,-78,-66,-71,1
13,-76,-87,-61,-75,1
14,-74,-89,-62,-76,1
15,-77,-77,-64,-73,1
16,-75,-86,-74,-57,2
17,-77,-81,-72,-55,2
18,-80,-74,-69,-67,2
19,-68,-75,-64,-72,2
20,-78,-80,-69,-66,2
21,-74,-80,-70,-60,2
22,-77,-92,-74,-58,2
23,-78,-83,-70,-66,2
24,-73,-84,-73,-60,2
25,-75,-88,-74,-59,2
26,-78,-85,-67,-58,2
27,-81,-80,-70,-69,2
28,-73,-92,-71,-66,2
29,-76,-80,-70,-69,2
30,-75,-81,-69,-66,3
31,-80,-80,-70,-72,3
32,-80,-79,-74,-71,3
33,-72,-77,-67,-72,3
34,-80,-77,-71,-81,3
35,-74,-81,-80,-72,3
36,-74,-81,-77,-73,3
37,-80,-81,-69,-72,3
38,-90,-79,-69,-71,3
39,-75,-82,-63,-79,4
40,-71,-83,-69,-71,4
41,-72,-81,-63,-75,4
42,-73,-80,-65,-73,4
43,-74,-77,-61,-75,4
44,-69,-73,-66,-81,4
45,-77,-72,-63,-70,4
46,-71,-76,-81,-75,4
47,-72,-76,-67,-71,4
48,-76,-80,-68,-74,4
49,-71,-82,-70,-75,4
50,-74,-83,-64,-71,4
51,-65,-78,-64,-85,4
52,-70,-84,-66,-68,4
53,-71,-77,-65,-78,4
54,-69,-74,-71,-79,5
55,-75,-78,-63,-72,5
56,-76,-72,-64,-90,5
57,-69,-69,-66,-76,5
58,-67,-73,-65,-74,5
59,-71,-76,-71,-77,5
60,-72,-80,-64,-71,5
61,-71,-71,-75,-71,5
62,-75,-78,-64,-75,5
63,-80,-70,-65,-81,5
64,-68,-70,-65,-85,5
65,-69,-70,-73,-78,5
66,-69,-71,-66,-80,5
67,-75,-80,-78,-80,5
68,-74,-69,-70,-75,5
69,-74,-83,-82,-79,6
70,-73,-76,-75,-78,6
71,-68,-84,-77,-73,6
72,-68,-77,-80,-76,6
73,-79,-78,-69,-71,6
74,-66,-73,-74,-74,6
75,-68,-72,-64,-75,6
76,-80,-78,-70,-75,6
77,-75,-73,-72,-74,6
78,-71,-83,-73,-73,6
79,-73,-71,-70,-76,6
80,-76,-76,-76,-72,6
81,-76,-78,-77,-74,6
82,-71,-89,-74,-78,6
83,-71,-82,-74,-77,6
84,-73,-74,-73,-80,6
85,-67,-83,-73,-73,6
86,-70,-73,-68,-74,6
87,-76,-67,-72,-92,7
88,-78,-68,-74,-79,7
89,-78,-66,-75,-77,7
90,-75,-73,-71,-76,7
91,-73,-73,-71,-75,7
92,-74,-74,-75,-75,7
93,-71,-67,-79,-84,7
94,-76,-66,-84,-84,7
95,-77,-76,-78,-78,7
96,-78,-74,-81,-79,7
97,-70,-78,-71,-78,7
98,-80,-76,-73,-85,7
99,-72,-76,-70,-74,7
100,-72,-80,-67,-72,7
101,-69,-72,-78,-84,7
102,-64,-73,-83,-86,7
103,-65,-73,-75,-83,7
104,-71,-76,-80,-80,7
105,-72,-73,-80,-79,8
106,-69,-72,-80,-81,8
107,-68,-71,-76,-76,8
108,-75,-76,-75,-81,8
109,-70,-71,-75,-77,8
110,-76,-64,-76,-73,8
111,-64,-77,-70,-85,8
112,-71,-65,-71,-84,8
113,-65,-71,-72,-78,8
114,-69,-68,-81,-81,8
115,-73,-68,-83,-80,8
116,-72,-66,-76,-81,8
117,-74,-77,-80,-78,8
118,-74,-82,-73,-77,8
119,-74,-78,-69,-78,8
120,-65,-68,-73,-81,9
121,-56,-75,-82,-81,9
122,-66,-67,-81,-83,9
123,-69,-67,-72,-75,9
124,-59,-71,-74,-81,9
125,-67,-70,-78,-81,9
126,-78,-70,-84,-78,9
127,-64,-77,-77,-82,9
128,-63,-71,-74,-83,9
129,-64,-69,-85,-80,9
130,-55,-68,-76,-77,9
131,-67,-64,-88,-82,9
132,-67,-73,-79,-74,9
133,-70,-77,-74,-77,9
134,-60,-71,-81,-83,9
135,-64,-65,-78,-83,9
136,-80,-62,-84,-87,10
137,-66,-56,-83,-87,10
138,-68,-52,-77,-82,10
139,-69,-66,-76,-80,10
140,-77,-66,-78,-84,10
141,-65,-68,-72,-77,10
142,-78,-69,-81,-82,10
143,-71,-64,-73,-78,10
144,-71,-69,-92,-73,10
145,-76,-63,-89,-84,10
146,-64,-62,-79,-90,10
147,-69,-67,-77,-80,10
148,-70,-72,-75,-96,10
149,-76,-69,-77,-90,10
150,-68,-71,-80,-79,10
151,-64,-72,-78,-86,10
152,-78,-59,-74,-83,10
153,-74,-37,-84,-84,10
